"id";"dur";"df";"minf";"maxf";"q25";"q50";"q75"
"942";0.488;898.3;742.2;945.3;843.8;882.8;914.1
"942";0.48;898.2;773.4;945.3;851.6;882.8;921.9
"942";0.472;885.2;773.4;945.3;851.6;882.8;914.1
"942";0.52;874.9;757.8;929.7;835.9;875;906.3
"942";0.488;893.9;734.4;945.3;843.8;882.8;914.1
"942";0.496;899.5;703.1;953.1;843.8;882.8;921.9
"942";0.488;901.6;710.9;960.9;843.8;890.6;921.9
"942";0.488;900.9;742.2;960.9;843.8;890.6;921.9
"942";0.512;875.2;718.8;929.7;828.1;875;898.4
"942";0.48;874.4;757.8;929.7;835.9;875;898.4
"129a";0.592;964.2;820.3;1921.9;921.9;992.2;1687.5
"129a";0.592;963.7;835.9;1890.6;929.7;984.4;1609.4
"129a";0.616;971;820.3;1914.1;921.9;992.2;1679.7
"129a";0.592;964.2;828.1;1906.3;914.1;984.4;1664.1
"129a";0.592;967.2;812.5;1898.4;914.1;984.4;1671.9
"129a";0.608;963.3;812.5;1921.9;921.9;992.2;1671.9
"129a";0.648;970.7;812.5;1914.1;914.1;992.2;1679.7
"129a";0.656;975;820.3;1921.9;921.9;992.2;1687.5
"129a";0.584;957.3;828.1;1921.9;921.9;992.2;1632.8
"129a";0.6;963;828.1;1921.9;929.7;992.2;1695.3
"130a";0.52;1037.8;914.1;1281.3;976.6;1046.9;1132.8
"130a";0.48;1073.8;921.9;1125;1031.3;1070.3;1101.6
"130a";0.496;1056.5;914.1;1164.1;984.4;1046.9;1085.9
"130a";0.504;1073;898.4;1164.1;976.6;1054.7;1101.6
"130a";0.368;982.8;906.3;1859.4;960.9;1000;1070.3
"130a";0.496;1067.6;914.1;1117.2;1000;1046.9;1085.9
"130a";0.528;1051.2;914.1;1164.1;992.2;1046.9;1085.9
"130a";0.496;1087;929.7;1164.1;1039.1;1078.1;1109.4
"130a";0.512;1062.7;921.9;1195.3;1000;1054.7;1093.8
"130a";0.504;1066.3;921.9;1156.3;1015.6;1062.5;1101.6
"137b";0.688;1038.1;921.9;1890.6;1031.3;1093.8;1453.1
"137b";0.632;1043;875;1882.8;1023.4;1070.3;1343.8
"137b";0.544;1028.3;929.7;1906.3;1015.6;1062.5;1312.5
"137b";0.68;1007.4;843.8;1906.3;1007.8;1078.1;1523.4
"137b";0.84;992.4;812.5;1875;984.4;1046.9;1585.9
"137b";0.68;1037.1;882.8;1898.4;1031.3;1078.1;1421.9
"137b";0.544;1036.3;945.3;1437.5;1031.3;1062.5;1187.5
"137b";0.712;1022.3;828.1;1867.2;992.2;1046.9;1507.8
"137b";0.6;1043.9;890.6;1898.4;1031.3;1078.1;1218.8
"137b";0.792;955.4;750;1937.5;953.1;1132.8;1640.6
"159c";0.512;983.9;820.3;1851.6;921.9;992.2;1546.9
"159c";0.496;989.9;828.1;1851.6;929.7;992.2;1343.8
"159c";0.496;984.8;820.3;1859.4;929.7;984.4;1375
"159c";0.496;981.5;515.6;1875;804.7;960.9;1179.7
"159c";0.536;979.7;507.8;1859.4;914.1;984.4;1437.5
"159c";0.552;547.2;492.2;1492.2;570.3;914.1;1007.8
"159c";0.544;972.5;539.1;1867.2;914.1;968.8;1414.1
"159c";0.496;989.1;828.1;1859.4;929.7;984.4;1296.9
"159c";0.48;1006.2;843.8;1851.6;945.3;1000;1039.1
"159c";0.528;976;820.3;1867.2;921.9;984.4;1554.7
"188a";0.544;1165.4;953.1;1226.6;1078.1;1140.6;1179.7
"188a";0.56;1144.8;875;1195.3;1062.5;1125;1164.1
"188a";0.592;1140;960.9;1257.8;1093.8;1148.4;1203.1
"188a";0.576;1111.8;968.8;1281.3;1101.6;1156.3;1210.9
"188a";0.56;1135.4;1039.1;1234.4;1101.6;1148.4;1187.5
"188a";0.584;1100.4;953.1;1242.2;1093.8;1140.6;1187.5
"188a";0.544;1150.8;867.2;1203.1;1078.1;1125;1164.1
"188a";0.592;1162;992.2;1250;1109.4;1156.3;1203.1
"188a";0.592;1198.3;992.2;1257.8;1109.4;1156.3;1203.1
"188a";0.608;1103.3;945.3;1257.8;1078.1;1125;1171.9
"189a";0.608;992.5;757.8;1859.4;906.3;976.6;1054.7
"189a";0.568;971;773.4;1843.8;906.3;984.4;1062.5
"189a";0.8;900.8;570.3;1828.1;875;1007.8;1132.8
"189a";0.64;1000.1;726.6;1828.1;906.3;1000;1109.4
"189a";0.592;967.5;718.8;1843.8;898.4;984.4;1093.8
"189a";0.656;936.1;625;1812.5;882.8;984.4;1093.8
"189a";0.648;945.1;695.3;1875;890.6;976.6;1109.4
"189a";0.608;969.9;718.8;1835.9;898.4;992.2;1085.9
"189a";0.624;971.1;742.2;1843.8;906.3;1000;1093.8
"189a";0.568;1008.6;765.6;1851.6;906.3;984.4;1062.5
"190a";0.528;918.8;828.1;1937.5;906.3;945.3;1312.5
"190a";0.528;928.2;781.3;1062.5;898.4;945.3;1015.6
"190a";0.552;918.1;820.3;1820.3;898.4;929.7;1265.6
"190a";0.512;919;820.3;1031.3;906.3;945.3;1171.9
"190a";0.528;914.9;820.3;1015.6;906.3;945.3;1218.8
"190a";0.504;925.1;835.9;1031.3;914.1;945.3;1140.6
"190a";0.512;916.2;820.3;1023.4;898.4;945.3;1226.6
"190a";0.56;920.1;750;1015.6;890.6;937.5;992.2
"190a";0.488;925.9;828.1;1820.3;914.1;953.1;1046.9
"190a";0.544;933.1;828.1;1046.9;898.4;945.3;1000
"194a";0.52;914.6;734.4;1882.8;867.2;929.7;1304.7
"194a";0.48;954.6;734.4;1914.1;890.6;968.8;1570.3
"194a";0.504;977;804.7;1828.1;906.3;968.8;1039.1
"194a";0.504;950.2;523.4;1929.7;882.8;968.8;1656.3
"194a";0.488;982.4;789.1;1812.5;906.3;968.8;1289.1
"194a";0.496;913.8;718.8;1773.4;882.8;968.8;1109.4
