"id";"q25";"q50";"q75";"fma";"minf";"maxf";"SYL1"
"224";3369;5011;6029;5851;952;8198;0.181
"224";3305;5017;6045;5862;985;7951;0.188
"224";3310;5006;6099;5857;979;8500;0.183
"224";3326;5028;6056;5883;1033;7762;0.193
"224";3305;5011;6077;5862;979;8080;0.18
"224";3283;4947;6029;5878;1001;7741;0.164
"225";3445;5065;5970;5167;1862;7256;0.179
"225";3418;5049;5986;5200;1125;8166;0.18
"225";4161;5351;6201;5916;1232;7332;0.166
"225";3671;5071;6007;5178;1168;7811;0.179
"225";3725;5108;5996;5151;1162;7353;0.167
"225";3956;5254;6093;5943;1259;7127;0.177
"225";3273;5071;5991;5894;1130;8171;0.164
"225";3870;5151;5991;6147;1868;7283;0.167
"225";3736;5194;6120;5792;1265;7213;0.165
"225";3526;5141;6093;5803;1168;7337;0.167
"272";2551;4360;5980;4500;1119;8446;0.183
"272";2632;4495;6217;2470;1076;8457;0.188
"272";2707;4581;6120;2594;1119;7617;0.176
"272";2632;4511;6196;2374;1071;9802;0.174
"272";2551;4376;5975;4398;1098;9765;0.195
"272";2767;4581;6163;4425;1098;9523;0.195
"272";2600;4441;6007;4419;1082;9646;0.184
"272";2616;4511;6158;4505;1098;9625;0.186
"272";2567;4419;5857;4538;1157;7595;0.184
"272";2557;4446;5943;2406;1092;8548;0.185
"273";2659;3644;5383;2793;1049;6896;0.164
"273";2680;3676;5394;2788;952;6955;0.154
"273";2691;3709;5388;2788;968;6874;0.165
"273";2707;3719;5404;2777;952;6879;0.166
"273";2702;3703;5420;2831;909;6879;0.165
"273";2675;3741;5426;2810;1674;6642;0.162
"273";2697;3692;5415;2831;1055;6842;0.166
"273";2702;3698;5399;2799;1055;6815;0.165
"273";2675;3596;5410;2831;968;6939;0.167
"273";2675;3698;5415;2869;925;6831;0.166
"277";3186;5221;6492;2336;1049;9140;0.18
"277";3176;5216;6492;5851;1173;9119;0.178
"277";3165;5211;6454;5943;1065;9130;0.179
"277";3246;5254;6449;6341;1227;9081;0.179
"277";3170;5162;6406;5927;1141;9140;0.178
"277";3154;5216;6406;6180;1243;9070;0.189
"277";3224;5232;6352;6196;1227;8053;0.18
"277";3219;5281;6411;6153;1033;9092;0.181
"277";3090;5151;6384;5900;888;9146;0.18
"277";3149;5227;6384;6303;1141;9076;0.179
"278";3547;5566;6379;5813;1044;8532;0.164
"278";3687;5668;6422;6196;1060;8613;0.17
"278";3203;5351;6228;6163;1060;8333;0.168
"278";4118;5706;6621;5894;1092;8457;0.167
"278";3612;5604;6459;6136;1033;8467;0.167
"278";4059;5733;6567;5932;1071;8473;0.164
"278";3278;5420;6336;6260;1033;8494;0.164
"278";3509;5604;6443;5840;1044;8494;0.169
"278";3655;5614;6384;5894;1055;8435;0.162
"278";3908;5652;6470;5749;1065;8877;0.156
"279";3709;4952;6104;4699;1001;7208;0.18
"279";3725;4952;6153;5921;1001;9296;0.209
"279";3666;4893;6093;4753;1044;7391;0.197
"279";3805;4990;6169;5862;1022;7983;0.188
"279";3719;4898;6066;4764;1006;7326;0.209
"279";3687;4866;6050;5894;1017;7245;0.18
"279";3671;4818;6077;5894;1012;8112;0.177
"279";3682;4807;6007;4796;1017;7122;0.177
"279";3676;4855;6104;4726;1038;7369;0.189
"279";3730;4909;6142;4807;1049;9388;0.18
"101";2514;4236;6072;2390;1055;7477;0.156
"101";2551;4392;6142;6104;1098;7542;0.158
"101";2540;4306;6147;2470;1060;7509;0.157
"101";2567;4635;6190;6023;1055;7498;0.168
"101";2535;4538;6190;6131;1082;7525;0.159
"101";2557;4581;6223;2433;1108;7525;0.169
"101";2562;4268;6169;6066;1076;7488;0.167
"101";2551;4145;6153;2223;1055;7493;0.155
"101";2610;4301;6206;2481;1125;7579;0.167
"101";2527;4107;6139;2201;1090;7558;0.177
"112";2987;4635;5948;5550;904;6982;0.152
"112";2960;4527;5894;5566;764;7288;0.154
"112";2976;4586;5953;5534;764;7299;0.154
"112";2976;4591;5959;5577;899;6949;0.151
"112";3192;4914;6325;5534;877;7014;0.166
"112";3046;4688;5996;5560;855;7342;0.161
"112";3079;4651;5970;5507;872;7245;0.163
"112";2993;4559;5932;5555;834;6933;0.155
"112";3052;4710;6099;5738;888;10352;0.167
"112";2939;4516;5830;5577;850;11084;0.153
"117";2578;5019;6476;6365;880;9541;0.182
"117";2767;4960;6704;6053;869;8319;0.181
"117";2616;4180;6419;6368;837;8158;0.185
"117";2893;4966;6548;6373;901;8136;0.185
"117";2783;4430;6529;6387;882;9450;0.182
"117";2613;4196;6468;3020;864;8174;0.191
"117";2729;4371;6424;6115;893;8545;0.202
"117";2651;4425;6462;3106;885;9261;0.182
"117";2602;4260;6295;6042;907;8543;0.195
"117";2820;5146;6457;6050;966;7795;0.185
"121";3504;4777;5725;5679;925;6893;0.171
"121";3334;4683;5687;5684;1098;6524;0.172
"121";3399;4737;5703;5671;993;6979;0.185
"121";3437;4739;5703;5684;923;7060;0.183
"121";3429;4783;5695;5690;1009;6898;0.172
"121";3415;4758;5700;5682;987;7000;0.174
"121";3477;4785;5722;5679;1044;6879;0.174
"121";3410;4774;5717;5698;928;7014;0.185
"121";3361;4729;5692;5668;979;6901;0.182
"121";3337;4661;5687;5655;985;7033;0.185
"125";3057;4699;5800;5073;960;7832;0.187
"125";3071;4793;5811;5089;966;7625;0.186
"125";3106;4777;5832;5746;971;7854;0.184
"125";3114;4769;5830;5717;928;7679;0.187
"125";3162;4855;5854;5730;963;7851;0.187
"125";3108;4761;5835;5009;855;8004;0.174
"125";3092;4756;5859;5743;971;7835;0.186
"125";3116;4812;5867;5057;968;7838;0.185
"125";3073;4799;5881;5730;985;7851;0.186
"125";3127;4855;5916;5081;993;7959;0.176
"131";3219;5049;6400;2201;1082;8182;0.165
"131";3229;5044;6427;5787;1012;8306;0.146
"131";3224;5071;6411;5797;1017;9980;0.163
"131";3232;5065;6443;6107;990;8341;0.174
"131";3224;5017;6379;6147;968;10061;0.154
"131";3294;5065;6433;6228;1006;9980;0.157
"131";3375;5119;6519;5787;1119;7418;0.159
"131";3332;5065;6449;2196;1162;7305;0.165
"131";3289;5124;6433;6217;1092;8274;0.167
"131";3337;5097;6470;5054;1135;8344;0.164
"141";2444;3819;5595;2255;707;7052;0.18
"141";2586;4228;5994;2242;697;7105;0.175
"141";2524;3838;6088;2400;645;9291;0.167
"141";2608;4131;6354;2212;640;8454;0.183
"141";2618;4147;6325;2301;680;8344;0.17
"141";2621;4198;6352;2287;1033;8327;0.171
"141";2602;4142;6241;2974;705;8301;0.173
"141";2592;3991;6295;3098;635;8575;0.173
"141";2602;4037;6250;3221;697;8214;0.171
"141";2562;4123;6066;2212;667;8177;0.169
"142";3784;5243;6276;5770;995;7961;0.17
"142";3717;5186;6180;5711;1017;7994;0.184
"142";3789;5307;6389;5673;1006;7994;0.17
"142";3736;5270;6346;5819;1049;7940;0.165
"142";3752;5211;6325;5824;1044;7956;0.167
"142";3835;5289;6303;5668;1784;7865;0.188
"142";3752;5194;6201;5668;904;7967;0.166
"142";3644;5081;6171;5706;904;8023;0.176
"142";3703;5173;6185;5824;904;8031;0.166
"142";3520;4947;6091;5660;1003;7988;0.182
"240";3434;5038;6298;5846;812;8704;0.181
"240";3353;4990;6411;5630;812;8704;0.18
"240";3256;4968;6443;6551;802;8602;0.181
"240";3256;4904;6427;5840;780;10562;0.18
"240";3299;4925;6395;5792;807;10481;0.183
"240";3176;4823;6368;5528;796;10545;0.181
"240";3090;4861;6459;5792;802;10448;0.182
"240";3262;4974;6454;6524;796;8597;0.182
"240";3407;5227;6519;5490;807;9479;0.195
"240";3364;5162;6519;5544;807;10443;0.183
"246";3805;5690;6616;5846;1561;9646;0.153
"246";3343;5539;6497;6384;1561;9996;0.173
"246";3450;5507;6503;5787;1555;7547;0.172
"246";3369;5356;6470;5889;1286;7595;0.163
"246";3294;5453;6529;6443;1082;7730;0.16
"246";3041;5318;6497;5808;1092;7741;0.163
"246";2987;5259;6454;1981;1076;7655;0.164
"246";2982;5200;6481;5840;1098;7741;0.177
"246";3725;5464;6433;6406;1577;7735;0.179
"246";3343;5480;6519;6443;1625;7633;0.152
"248";3208;5044;5916;5819;931;7633;0.162
"248";3240;5028;5910;5781;915;7498;0.174
"248";3316;5065;5921;5743;931;7132;0.172
"248";3122;4990;5910;5797;931;7079;0.16
"248";3111;4898;5927;5717;931;7601;0.173
"248";3273;4914;5878;5722;925;7865;0.163
"248";3413;5060;6120;5765;920;7913;0.151
"248";3170;5044;6013;5765;931;7913;0.169
"248";3246;4925;5996;5711;942;7870;0.17
"248";3159;4866;5889;5749;936;7450;0.171
"251";2955;4516;5641;5539;1614;7062;0.193
"251";2933;4548;5647;4521;1593;7014;0.18
"251";3052;4629;5652;5733;1636;7784;0.181
"251";2836;4462;5641;4441;1550;7708;0.182
"251";2853;4446;5598;4435;1625;7692;0.182
"251";2702;4279;5377;4570;1636;6965;0.183
"251";2826;4403;5501;2336;1658;7019;0.184
"251";2804;4365;5464;4425;1614;7025;0.183
"251";2863;4441;5555;4435;1658;7019;0.171
"251";2923;4554;5620;4430;1625;7073;0.166
"253";2896;4667;5846;2212;1098;7181;0.182
"253";2955;4661;5835;5916;1017;7149;0.178
"253";3106;4694;5803;5695;1114;7149;0.168
"253";3046;4672;5781;5873;1087;7154;0.164
"253";3289;4683;5851;5840;1082;7095;0.17
"253";3240;4688;5862;5910;1065;7057;0.154
"253";3084;4640;5743;5862;1006;7149;0.163
"253";2896;4602;5679;5679;1060;7283;0.164
"253";3127;4629;5711;3924;1076;7170;0.155
"253";3666;5011;6449;3940;942;10088;0.176
"258";3332;5318;6524;6363;936;8048;0.176
"258";3305;5302;6513;6319;942;8139;0.177
"258";3316;5307;6503;6373;974;8134;0.174
"258";3337;5275;6503;6346;909;8134;0.167
"258";3332;5281;6519;6325;958;8290;0.164
"258";3316;5313;6492;6336;958;8112;0.166
"258";3337;5313;6503;6330;920;9189;0.166
"258";3299;5254;6400;6293;947;8101;0.174
"258";3294;5270;6438;6330;974;8144;0.174
"258";3283;5313;6508;6336;968;8128;0.174
"261";3509;4882;6293;4527;915;9377;0.156
"261";3326;4683;6206;5927;872;9388;0.157
"261";3364;4721;6099;4538;915;8720;0.157
"261";3542;4925;6169;4505;904;8290;0.157
"261";3353;4769;6158;4505;855;10411;0.154
"261";3391;4694;6007;5690;909;9426;0.164
"261";3326;4715;6099;5910;909;9469;0.158
"261";3364;4731;6040;5663;904;8220;0.157
"261";3332;4726;6110;5781;872;9415;0.166
"261";3423;4861;6180;5641;952;9291;0.167
"265";3299;4731;6077;4511;1055;7988;0.174
"265";3229;4731;6131;4721;1076;8193;0.165
"265";3165;4661;6061;5964;1028;8737;0.163
"265";3240;4780;6180;5996;968;10023;0.164
"265";3192;4651;6034;4290;974;8171;0.172
"265";3154;4640;6072;2040;952;8758;0.157
"265";3251;4737;6061;4495;1076;8069;0.164
"265";3192;4678;6056;5792;1028;8758;0.173
"265";3326;4769;5970;4495;1092;8925;0.167
"265";3127;4635;5910;4489;985;8177;0.166
"274";4048;5474;6384;5776;1114;8144;0.18
"274";4102;5474;6486;5937;1092;8080;0.17
"274";4333;5695;6696;6131;1141;8118;0.182
"274";3870;5334;6314;5921;990;8204;0.172
"274";3956;5394;6389;6120;925;8128;0.181
"274";3666;5119;6266;5194;979;9200;0.17
"274";3612;5114;6443;5652;985;8166;0.17
"274";4177;5496;6336;6061;995;8204;0.171
"274";4258;5614;6497;5996;1065;8139;0.182
"274";4075;5447;6508;5760;1184;8144;0.18
