"id";"f1";"f3";"f5";"f7";"f9";"f11";"f13";"f15";"f17";"f19";"dur"
"070p";555.1;908.3;931.3;924.6;918.7;916.5;919.2;916;920.9;969.4;0.688
"070p";539.3;534.1;893.9;890.1;886.5;882.7;893.3;894.6;547;526.7;0.976
"070p";561.5;898.9;918;913.8;911.8;908.4;910.2;912.8;912.2;929.9;0.736
"070p";571.1;892.7;915.9;911.2;906.2;904.1;905.4;909.3;913.3;929.6;0.728
"070p";778.1;859.7;877.6;881.7;882.3;883.7;888.6;895.5;899;918.4;0.704
"070p";554.7;909.8;931.6;930.5;930.5;919.9;919;917.1;920.3;928.4;0.68
"070p";548.6;899;923.2;921.1;914.2;912.9;911.1;910.4;909.8;938.9;0.72
"070p";1093.2;892.4;910.6;904.6;897.1;895.7;900.6;900.6;908.4;924.1;0.736
"073a";788.6;824;849.3;867.1;873.3;880.3;889.7;908.8;918.3;933.7;0.592
"073a";554.2;584.1;844.7;885.3;904.2;926.6;955.5;994.3;1008.4;1103.7;0.76
"073a";774;819.9;847.8;855.8;867.6;883.8;900.9;920.9;948.6;958.8;0.624
"073a";633.3;830;867;880.9;896.7;916.2;921.3;931.8;977;1068.4;0.664
"073a";703;818.7;844.2;873.3;882.4;887.5;906.5;914.7;951.8;964.2;0.648
"073a";779.1;820;844;862.1;878.4;891.4;897.6;900;923.6;1051.7;0.592
"073a";703.3;832.7;843.4;882;896.1;914.6;917.5;925.2;954;1057.3;0.688
"073a";790.6;831.6;854.2;873.6;889.4;896.2;903.6;900.9;956.5;1064.8;0.632
"073a";803;844.7;860.5;876;891.3;899.4;907.9;918.8;956.5;949.6;0.584
"073a";740.6;835.1;855.1;867.5;883.8;897;913.4;940;998.8;1051.1;0.656
"087a";692.2;743.2;790.2;811.9;836.3;862.7;887.5;944.1;1010.6;1040.3;0.712
"087a";807;857;898.8;926.6;945.2;972.3;983.7;1012.4;1053.9;1108.6;0.6
"087a";820.7;874.8;917;937;960.2;974.9;1006.4;1037.3;1075.5;1101.9;0.608
"087a";786.6;845.7;878.7;893.9;924.8;935.4;951.8;976;986.3;1063.6;0.632
"087a";731.2;783.7;818.4;840.5;858.8;882.7;907.7;950.3;974.2;1046.7;0.68
"087a";985.2;768.3;804.1;827.6;846.8;864;888.3;927.9;954.8;1077.9;0.712
"087a";805.5;832.4;858.9;899.1;912.4;914.2;920;949.6;977.1;1076;0.616
"087a";862.3;777.7;816.5;852.2;879.2;900.6;923.3;1002.8;1096;1006.9;0.776
"087a";759.3;804;842.2;862.8;865.7;897.8;920.2;941.1;977.9;1017;0.656
"087a";822.8;874.7;922.3;947.8;980;987.9;1009.6;1051.8;1075;1089.4;0.608
"942";786;855.8;897.4;910.8;902.4;901.4;897.8;879;858.8;839.8;0.488
"942";748.7;856.4;893.5;909.9;904.8;897;898.7;881.3;863.7;836.6;0.48
"942";790;852.1;882.1;906.5;900.5;892.4;887.1;887;867.3;844;0.472
"942";783.4;845.9;875.9;889.3;883.3;874.3;863.4;861.4;842.6;823.4;0.52
"942";748.7;853.1;889.6;908.1;897.7;886.8;882.2;882.5;860.5;832.9;0.488
"942";786.2;852.3;892.4;913.5;902.9;897.3;881.5;869.9;854.6;830.8;0.496
"942";787.5;853.5;890.6;909.6;900.2;892.5;889.6;885.4;864.5;831.3;0.488
"942";786.9;854.5;886.8;912.1;913.6;900;890.6;875.2;876.8;840.5;0.488
"942";800.5;851.3;880.2;890.2;883.6;872.3;861.2;856.6;833.9;788.4;0.512
"942";790.6;846.5;873.5;887.6;888.9;882.4;881.3;873;855.3;828;0.48
"129a";852.8;836.5;866.6;898;922.7;933.8;951.4;989.4;988.7;972.5;0.592
"129a";876.9;868.7;889.5;916.4;942.2;960.3;966.4;981;995.6;960.8;0.592
"129a";844.3;839.1;870.3;901.5;925.9;942.6;969.1;986.2;983.3;986.6;0.616
"129a";851.2;844.6;874.5;890.3;904.4;913.1;958.5;976.6;983.9;968.3;0.592
"129a";824.9;828.3;853.3;877.9;889.2;911.3;937.1;971.9;977.7;962.1;0.592
"129a";820.1;829.2;854.5;879.2;878.5;908;942.1;967.6;986.7;931.1;0.608
"129a";850.3;836.5;862.4;879.1;911.2;925.7;943.9;969.8;987.7;964.5;0.648
"129a";816.1;838.3;867.8;900;911.4;929.9;957.2;961.9;977.6;984.9;0.656
