"id";"f1";"f3";"f5";"f7";"f9";"f11";"f13";"f15";"f17";"f19";"dur"
"cerb";918.3;981;1023.2;1051.4;1055;1051.2;1055.7;1043;1036.2;971.8;0.416
"cerb";913.1;971.7;1006;1047;1048.6;1047.6;1041.5;1035.4;1024;981.8;0.416
"duba";664.9;844.2;910.5;938;956;968.8;970.6;972.1;971.7;962.5;0.52
"duba";798.8;848.1;906.5;934.3;959.8;964.7;970.8;973.3;964.5;956.5;0.52
"duba";758.9;854.5;910.9;945.6;946.8;954;969.3;974.6;968;960.8;0.528
"duba";785.9;844.5;908.9;937.3;954.3;963.8;968.9;974.8;969.6;962.3;0.536
"duba";825.9;876.2;910.6;936.8;949.4;951.8;964.9;956.8;958.4;953.6;0.488
"duba";854;882.5;919.8;960.4;977.1;980.2;990.6;990.9;990.8;988.2;0.56
"duba";783.2;818.6;908.3;933.7;948.9;957.6;976.5;977.3;975.6;967.4;0.52
"duba";784;843.4;865.7;923.6;935.5;952.1;951.2;953.5;952.4;953;0.568
"duba";832.4;875.5;915;939.3;948.9;960.4;962.7;959.8;957.7;959.7;0.472
"duba";829;875.1;913.3;943.3;954;966.2;974.4;971.7;977.4;965.3;0.48
"kneb";821.6;855.9;882.6;893.9;903.8;916;921.7;926.9;932.4;1130.2;0.544
"kneb";797.3;816.5;870.7;889.7;895.2;896.2;898.8;906.7;985;907.9;0.64
"kneb";781.5;831.2;862.7;879.9;895.2;901.2;906.4;912.4;910.9;1083.7;0.536
"kneb";508.6;788.3;825.7;875.9;886.8;894.8;814.8;889.7;896.5;689.7;0.648
"kneb";800;837.9;864.5;886;895.8;901.1;905;913.1;916;1127.2;0.568
"kneb";756.5;805;833.9;841;860.3;878.9;886.1;893.1;895.8;1108.7;0.552
"kneb";805.6;841.5;871.1;884;899.2;908.6;916.6;921.3;927.3;961.1;0.552
"kneb";521.4;565.5;623.6;659.3;710.5;749.4;768.6;777.1;798.9;544.1;0.656
"kneb";742.1;775.4;798.8;810;823.9;842.8;856.5;875;886;1133.7;0.528
"kneb";791.8;827.6;858.4;878.7;888.7;892.4;901.4;907.7;904.9;548.8;0.56
"pala";599.4;653.9;686.9;742.3;766.2;777.3;791;800.9;804.8;927;0.496
"pala";630.9;603.4;676.3;677.4;777.2;776.4;794.6;775.4;841.6;821.5;0.456
"pala";610;646.1;687.7;734.4;772.1;787.7;797.2;793.6;791.7;875.2;0.48
"pala";578.8;644.5;687.7;745.3;705.8;751.8;813.3;832.6;847;847.2;0.464
"pala";593.8;667;674.6;747.9;767.8;788.1;800.3;822.4;814.9;923.7;0.472
"pala";616.6;641.1;1242.4;740.4;786;815.8;814.9;832.5;910.8;941.4;0.56
"pala";586;634.5;697.1;754.5;786.4;798.7;814;814.7;828.2;959.1;0.512
"pala";551.7;610.4;658;687.1;738.1;725.4;774.7;786.4;856.5;971.9;0.528
"pala";1227.5;629.1;728.5;753;787.8;811.2;816.1;788.9;824.2;944.3;0.496
"pala";638.2;656.2;682.2;694.3;786;806;784;832.8;824.5;965.6;0.512
"susa";795.3;843.1;903.4;950.3;914.7;1041.2;715.1;750;1101.3;1114.5;0.592
"susa";842.9;891.9;946.9;1024.2;1054.5;1067;1083.2;1101.2;1107.3;1098;0.608
"susa";839.6;890.6;980.5;1047.8;1086.7;1093.1;1119;1133.7;1148.3;1136.4;0.536
"susa";807.9;895.9;969.9;1030.9;1057.3;1079.8;1103.8;1114.4;1123.7;1127.5;0.536
"susa";819.9;878.8;950;1005.6;1033;1073.2;1098.6;1106;734.9;1120.4;0.592
"susa";867.6;919.9;974.2;781.5;779.4;1042;1055.1;718.6;992;1088;0.536
"susa";778.3;796.3;901.2;978;1024.6;1069.7;1090.2;1103.3;1105.6;1134.1;0.584
"susa";848.8;886;967.9;1036.9;1068.7;1095.1;1126.2;1142.5;1137.8;1126.4;0.56
"susa";825.1;884.4;960.6;1029.1;1066.3;1091.5;1110.6;1111.5;1117.7;1120.8;0.536
"susa";840.9;894.3;945.3;1029.5;1055.6;1093.6;1107.9;1121;1133.3;1143.8;0.552
"vysa";1092.8;1246.9;1227.3;1223.5;1221.2;1213.9;1186.5;1166.1;1113.9;1056;0.688
"vysa";1071.1;1230.2;1206.2;1204.3;1198.1;1187.1;1177.8;1156.9;1073.6;1050.7;0.648
"vysa";1047;1241.9;1219.8;1217.5;1208.5;1208.8;1200.6;1174;1099.9;1079.9;0.656
"vysa";1090.7;1274.8;1243.1;1234.7;1219.1;1223.9;1214.9;1173.6;1143.8;1022.9;0.712
"vysa";1148.4;1341;1311.3;1305.1;1298.2;1295.4;1285.9;1259.8;1222.6;1188.1;0.672
"vysa";1047.1;1235;1212;1212.4;1208.3;1198.1;1208.9;1199.1;1160.9;1091.7;0.664
"vysa";771.8;1073;1058.6;1066.8;1073.4;1086.9;1087.2;1060.1;1021.5;1018.3;0.84
"vysa";989.3;1311.3;1288.3;1285.4;1287.1;1282.3;1270.2;1230;1193.6;1193.6;0.712
"vysa";1083.9;1245.8;1216.2;1210.4;1202.9;1198.8;1183;1187.2;1133.6;1069.8;0.656
"vysa";628.9;1251.5;1228.4;1223.3;1213.6;1211.7;1203.4;1154.2;1122.1;1021.5;0.656
