"id";"dur";"lfreq";"hfreq";"bandw";"q1";"q3";"pf"
"id53";0.318;1127.4;3123.9;1996.5;1875;2437.5;2109.4
"id53";0.316;1101.5;3115.3;2013.8;1875;2437.5;2109.4
"id53";0.329;1127.4;3115.3;1987.9;1875;2437.5;2109.4
"id53";0.32;1075.7;3158.3;2082.6;1875;2437.5;2109.4
"id53";0.325;1092.9;3106.7;2013.8;1875;2437.5;2109.4
"id53";0.316;1084.3;3106.7;2022.4;1875;2437.5;2109.4
"id53";0.316;1136;3192.7;2056.7;1875;2437.5;2109.4
"id53";0.325;1127.4;3201.3;2073.9;1875;2625;2062.5
"id71";0.285;1075.8;3098.6;2022.8;1875;2437.5;1921.9
"id32";0.316;1245.7;3032.5;1786.8;2250;2625;2484.4
"id32";0.321;1245.7;3025.4;1779.7;2062.5;2625;2531.2
"id40";0.305;1166.1;3208.9;2042.8;1875;2625;1359.4
"id40";0.296;1149.6;3134.4;1984.8;1875;2812.5;1546.9
"id40";0.296;1116.5;3241.9;2125.4;1875;2812.5;1312.5
"id40";0.298;1182.6;3208.9;2026.3;1875;2625;1781.2
"id40";0.298;1174.4;3217.1;2042.7;1875;2625;1359.4
"id40";0.295;1091.7;3126.2;2034.5;1500;2437.5;1687.5
"id40";0.307;1182.6;3159.2;1976.6;1875;2625;1968.8
"id40";0.294;1166.1;3142.7;1976.6;1875;2437.5;1781.2
"id40";0.3;1215.7;3084.8;1869.1;1875;2250;1453.1
"id40";0.295;1157.8;3184;2026.2;2062.5;2625;2015.6
"id59";0.328;1128.5;3245.4;2116.9;1687.5;2625;2484.4
"id59";0.327;1163.4;3201.7;2038.3;1875;2437.5;2296.9
"id59";0.329;1137.2;3262.9;2125.7;1875;2437.5;2250
"id59";0.333;1163.4;3227.9;2064.5;1875;2437.5;2296.9
"id59";0.327;1154.7;3201.7;2047;1687.5;2437.5;1265.6
"id59";0.323;1111;3114.2;2003.2;1875;2437.5;2437.5
"id59";0.322;1137.2;3000.5;1863.3;1875;2625;2437.5
"id59";0.323;1137.2;3053;1915.8;1875;2625;2531.2
"id59";0.325;1093.5;2939.2;1845.7;1687.5;2437.5;2812.5
"id59";0.319;1084.7;2930.5;1845.8;1687.5;2625;2765.6
"id72";0.289;1178.1;3039.9;1861.8;1687.5;2625;2812.5
"id72";0.292;1178.1;3031.6;1853.5;1875;2812.5;2015.6
"id72";0.301;1178.1;3072.8;1894.7;1875;2625;2906.2
"id72";0.291;1194.5;3015.2;1820.7;1875;2812.5;1968.8
"id72";0.294;1202.8;3056.3;1853.5;1875;2812.5;1781.2
"id72";0.29;1186.3;3081.1;1894.8;1875;2812.5;1828.1
"id72";0.285;1202.8;3031.6;1828.8;1875;2812.5;1968.8
"id72";0.289;1202.8;3064.6;1861.8;1875;2812.5;1828.1
"id72";0.291;1186.3;3097.5;1911.2;1875;2812.5;1968.8
"id72";0.295;1153.3;3097.5;1944.2;1875;2812.5;1921.9
"id36";0.32;1090.1;3152.6;2062.5;2062.5;2812.5;1781.2
"id36";0.318;1105.8;3074.1;1968.3;2062.5;2812.5;1593.8
"id36";0.312;1097.9;3082;1984.1;2062.5;2812.5;1781.2
"id36";0.316;1113.6;3144.7;2031.1;2062.5;2625;1687.5
"id36";0.312;1160.6;3074.1;1913.5;2062.5;2812.5;1875
"id36";0.32;1137.1;3097.7;1960.6;2062.5;2812.5;1359.4
"id36";0.318;1137.1;3074.1;1937;2062.5;2812.5;1500
"id36";0.307;1113.6;3074.1;1960.5;2062.5;2812.5;1734.4
"id36";0.323;1160.6;3082;1921.4;2062.5;2812.5;1781.2
"id36";0.309;1137.1;3082;1944.9;2062.5;2812.5;1781.2
"id31";0.347;1062.7;3097.5;2034.8;1687.5;2625;1359.4
"id31";0.349;1136.9;3081.1;1944.2;1687.5;2625;1734.4
"id66";0.282;1221.5;3200.3;1978.8;1687.5;2437.5;1687.5
"id66";0.286;1115.6;2947.9;1832.3;1687.5;2437.5;1687.5
"id66";0.289;1197.1;3013;1815.9;1687.5;2437.5;1687.5
"id66";0.293;1123.8;3086.3;1962.5;1687.5;2625;2062.5
"id66";0.294;1083.1;3094.4;2011.3;1687.5;2625;1500
"id66";0.295;1099.3;3061.9;1962.6;1875;2625;1640.6
"id66";0.292;1017.9;3086.3;2068.4;1875;2625;1500
"id66";0.289;1066.8;2996.7;1929.9;1687.5;2625;1500
"id66";0.282;1074.9;2939.7;1864.8;1875;2437.5;1640.6
"id66";0.292;1156.3;2923.4;1767.1;1875;2625;1359.4
"id47";0.348;1456.8;3032.9;1576.1;1875;2625;1546.9
"id47";0.344;1354.6;3041.4;1686.8;1875;2437.5;1687.5
"id47";0.331;1397.2;3007.3;1610.1;2062.5;2437.5;1500
"id47";0.341;1388.7;3015.9;1627.2;1875;2437.5;1546.9
"id47";0.342;1405.7;2998.8;1593.1;1875;2250;1593.8
"id47";0.329;1346.1;2998.8;1652.7;1687.5;2437.5;1828.1
"id47";0.358;1260.9;2990.3;1729.4;1687.5;2250;1593.8
"id47";0.35;1312;2990.3;1678.3;1687.5;2250;1546.9
"id47";0.348;1286.4;3015.9;1729.5;1687.5;2250;1453.1
"id47";0.348;1260.9;3007.3;1746.4;1687.5;2250;1406.2
"id35";0.301;1110;3099.8;1989.8;1875;2812.5;2812.5
"id35";0.316;1027.8;3075.1;2047.3;2062.5;2812.5;2765.6
"id35";0.314;1077.1;3083.3;2006.2;1875;2812.5;2812.5
"id35";0.31;1077.1;3058.6;1981.5;1875;2625;2203.1
"id35";0.308;1101.8;3034;1932.2;1875;2625;1828.1
"id35";0.308;1101.8;3091.5;1989.7;1875;2625;1828.1
"id35";0.303;1101.8;3058.6;1956.8;1875;2625;2906.2
"id35";0.312;1175.8;3001.1;1825.3;1875;2625;2812.5
"id35";0.312;1159.3;3058.6;1899.3;1875;2625;2718.8
"id35";0.317;1077.1;3075.1;1998;1875;2437.5;1921.9
"id31";0.36;1165.1;3021.3;1856.2;1875;2625;2765.6
"id31";0.357;1116.9;3029.3;1912.4;1687.5;2625;1500
"id31";0.344;1157.1;2989.1;1832;1687.5;2250;2109.4
"id31";0.342;1157.1;3029.3;1872.2;1687.5;2437.5;1500
"id31";0.354;1141;3005.2;1864.2;1687.5;2437.5;1500
"id31";0.354;1157.1;3029.3;1872.2;1875;2625;2718.8
"id31";0.344;932.1;2981.1;2049;1875;2437.5;2343.8
"id31";0.345;1092.8;3089.9;1997.1;1875;2625;2015.6
"id77";0.32;1064.6;3050.9;1986.3;2062.5;2625;2203.1
"id77";0.325;1080.5;3035;1954.5;2062.5;2437.5;2250
"id77";0.34;1056.7;3042.9;1986.2;2062.5;2812.5;2953.1
"id77";0.321;1048.7;3027.1;1978.4;1875;2625;2906.2
"id77";0.328;1056.7;3035;1978.3;1875;2625;2906.2
"id77";0.344;1120.2;2987.3;1867.1;1875;2625;2812.5
"id77";0.353;1120.2;2971.4;1851.2;1687.5;2437.5;1687.5
"id77";0.329;1120.2;2987.3;1867.1;1875;2625;2906.2
"id77";0.332;1104.4;3003.2;1898.8;1687.5;2625;2906.2
"id77";0.325;1120.2;2979.4;1859.2;1687.5;2437.5;2859.4
