filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
ANspec.csv;25;9;9;7;6;4.151683195;0.662222222;0.938573187;3.527355095;5.092481727;0.572543636;14
CCformants.csv;33;7;7;4;4;10.39120865;0.974025974;3.289040362;4.932021009;10.94124028;0.930667967;14
CCspec - reduced.csv;19;9;9;7;6;5.34608999;0.877192982;1.045504462;3.719509468;7.846652349;0.730599112;14
LAhighweewoo.csv;19;9;9;7;5;3.490574505;0.684210526;0.747319087;3.182139027;4.826750739;0.543481656;14
SS grunty.csv;21;10;10;10;8;2.862133412;0.461904762;0.551079248;2.542904012;2.833706001;0.453371921;14
ANmodulation.csv;16;8;8;11;10;3.781301968;0.8359375;0.914187124;3.333755983;6.90508231;0.599719075;15
ANspec.csv;31;8;8;7;6;4.54482826;0.689516129;0.973985216;3.921389424;5.984896988;0.561270202;15
CCformants.csv;17;5;5;4;4;9.939076018;0.988235294;3.389902121;4.04157879;10.63843454;0.919303887;15
CCspec - reduced.csv;6;8;8;7;6;5.054404574;0.958333333;1.007035694;2.396240557;7.669361648;0.861409132;15
LAhighweewoo.csv;31;7;7;7;5;3.611207855;0.594470046;0.734854529;3.504122275;4.976342137;0.446849365;15
SS grunty.csv;27;7;7;10;7;2.518345043;0.349206349;0.495157402;2.687784982;2.56147886;0.334436286;15
ANmodulation.csv;15;6;6;11;10;3.627946263;0.755555556;0.857609699;3.061982966;5.932401398;0.56521716;16
ANspec.csv;5;9;9;7;6;2.615947656;0.933333333;0.72145064;2.057278328;6.795917051;0.657792005;16
CCformants.csv;13;5;5;4;4;9.824528855;0.984615385;3.494577209;3.640437545;10.03403749;0.931217818;16
CCspec - reduced.csv;23;8;8;7;6;5.378084248;0.820652174;1.030527079;3.852977147;7.356852668;0.686981478;16
LAhighweewoo.csv;21;8;8;7;5;3.560355615;0.696428571;0.735245187;3.346871032;5.320811343;0.523512532;16
