filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
46.csv;27;14;14;10;10;6.995049453;0.878306878;1.267352089;4.179615062;8.122810194;0.842036705;11
47.csv;28;19;19;10;10;3.401572506;0.507518797;0.491540324;2.665701697;3.403132688;0.503882489;11
48.csv;36;5;5;10;10;2.523369266;0.233333333;0.365089966;3.23521025;2.033596556;0.273345766;11
49.csv;26;10;10;10;10;3.507277512;0.530769231;0.493621217;2.870522305;3.722675003;0.497912045;11
5.csv;13;19;19;10;10;8.530802544;0.979757085;1.102209197;3.585719657;8.68321177;0.980169005;11
50.csv;34;15;15;10;10;7.694122532;0.898039216;0.830179794;4.578474562;8.787345459;0.864710261;11
6.csv;36;16;16;10;10;0.955451419;0.137152778;0.115869396;1.726877301;0.834568137;0.14511767;11
7.csv;28;16;16;10;10;5.626812326;0.745535714;1.05454318;3.666675227;6.053144134;0.731742789;11
8.csv;6;10;10;10;10;2.043996069;0.566666667;0.34110688;1.212649901;1.94206619;0.571083899;11
9.csv;11;19;19;10;10;4.733684358;0.885167464;0.761424921;2.87847344;6.457042912;0.821990209;11
1.csv;22;7;7;10;10;0.244052134;0.090909091;0.026475413;1.77781847;0.395462468;0.070370303;12
10.csv;37;5;5;10;10;10.22983252;0.913513514;1.149967868;4.886186011;10.24152979;0.905992215;12
11.csv;20;10;10;10;10;2.420788042;0.415;0.319133493;2.187588395;2.445262084;0.402782138;12
12.csv;30;6;6;10;10;5.131099659;0.666666667;0.73865155;3.717711583;5.942324463;0.591628471;12
13.csv;36;7;7;10;10;7.948468913;0.861111111;1.036360932;4.656908585;8.938127222;0.819639244;12
14.csv;6;7;7;10;10;5.826766461;1;0.998119655;2.584962427;8.743058144;0.892125158;12
15.csv;26;8;8;10;10;0.858908248;0.144230769;0.121937701;2.12828514;0.873700507;0.138072209;12
16.csv;22;10;10;10;10;2.205754859;0.345454545;0.290969769;2.147853927;2.109308879;0.357027885;12
17.csv;27;5;5;10;10;2.310251572;0.296296296;0.260941757;2.679448471;2.344255226;0.285690015;12
18.csv;25;13;13;10;10;7.175630939;0.876923077;1.116813022;4.051965372;8.011583959;0.857809666;12
19.csv;27;7;7;10;10;4.796026562;0.656084656;0.708015888;3.462733962;5.44432716;0.590451439;12
2.csv;12;8;8;10;10;6.126508902;0.927083333;0.852294304;3.260559615;8.081337074;0.852230908;12
20.csv;18;15;15;10;10;6.509597717;0.92962963;1.176805585;3.805262839;8.32078568;0.871267715;12
21.csv;39;7;7;10;10;0.521629658;0.076923077;0.055974266;2.532568374;0.562670531;0.077524315;12
22.csv;33;7;7;10;10;4.160241627;0.467532468;0.527674257;3.295501464;3.859925101;0.499341699;12
23.csv;15;9;9;10;10;3.39378039;0.696296296;0.671613532;2.690512923;4.659685986;0.578040334;12
24.csv;8;20;20;10;10;3.67341022;0.8625;0.858611203;2.331519071;5.575897217;0.77348266;12
25.csv;6;9;9;10;10;6.206422048;0.962962963;1.025387524;2.417209654;7.613898934;0.938351167;12
26.csv;30;20;20;10;10;4.983891841;0.731666667;0.87488265;3.625787526;5.997726652;0.662335321;12
27.csv;22;19;19;10;10;6.530216425;0.85645933;0.765478136;3.729810779;7.309276449;0.845305269;12
